Game,Console Name,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
Utawarerumono: Futari no Hakuoro,PSV,2016.0,Misc,Aqua Plus,0.0,0.0,0.06,0.0,0.06
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,2016.0,Action,Square Enix,0.0,0.0,0.28,0.0,0.28
Gears of War 4,XOne,2016.0,Shooter,Microsoft Game Studios,0.78,0.44,0.0,0.12,1.35
Monster Hunter Stories,3DS,2016.0,Action,Capcom,0.0,0.0,0.28,0.0,0.28
Attack on Titan (KOEI),PS4,2016.0,Action,Tecmo Koei,0.04,0.11,0.11,0.03,0.28
Minecraft,WiiU,2016.0,Misc,Microsoft Game Studios,0.28,0.17,0.18,0.04,0.68
Madden NFL 17,PS4,2016.0,Sports,Electronic Arts,1.25,0.17,0.0,0.32,1.75
Wand of Fortune R,PSV,2016.0,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
Guilty Gear Xrd -Revelator-,PS4,2016.0,Fighting,PQube,0.03,0.0,0.05,0.01,0.08
Kan Colle Kai,PSV,2016.0,Action,Kadokawa Games,0.0,0.0,0.19,0.0,0.19
Ys VIII: Lacrimosa of Dana,PSV,2016.0,Role-Playing,Nihon Falcom Corporation,0.0,0.0,0.09,0.0,0.09
Super Robot Wars OG: The Moon Dwellers,PS4,2016.0,Misc,Namco Bandai Games,0.0,0.0,0.09,0.0,0.09
Fernbus Simulator,PC,2016.0,Simulation,Aerosoft,0.0,0.01,0.0,0.0,0.01
Azure Striker Gunvolt: Striker Pack,3DS,2016.0,Action,Inti Creates,0.0,0.0,0.01,0.0,0.01
Digimon World: Next Order,PSV,2016.0,Action,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1
Sword Art Online: Hollow Realization,PS4,2016.0,Role-Playing,Namco Bandai Games,0.06,0.02,0.1,0.02,0.19
The Idolmaster: Platinum Stars,PS4,2016.0,Simulation,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1
The Book of Unwritten Tales 2,WiiU,2016.0,Adventure,Nordic Games,0.0,0.01,0.0,0.0,0.01
Just Dance 2017,Wii,2016.0,Misc,Ubisoft,0.06,0.11,0.0,0.01,0.18
EVE: Valkyrie,PS4,2016.0,Shooter,CCP,0.03,0.05,0.0,0.02,0.1
Jikkyou Powerful Pro Baseball 2016,PSV,2016.0,Sports,Konami Digital Entertainment,0.0,0.0,0.18,0.0,0.18
Sangoku Koi Senki: Omoide Gaeshi - CS Edition,PSV,2016.0,Adventure,Prototype,0.0,0.0,0.01,0.0,0.01
Sherlock Holmes: The Devil's Daughter,PC,2016.0,Adventure,Bigben Interactive,0.0,0.01,0.0,0.0,0.01
Skylanders Imaginators,WiiU,2016.0,Platform,Activision,0.09,0.08,0.0,0.02,0.18
Battle Worlds: Kronos,PC,2016.0,Strategy,Nordic Games,0.0,0.01,0.0,0.0,0.01
The Sims 4: City Living,PC,2016.0,Simulation,Electronic Arts,0.02,0.08,0.0,0.01,0.1
Lumo,PSV,2016.0,Puzzle,Rising Star Games,0.0,0.01,0.0,0.0,0.01
Chou Ezaru wa Akai Hana: Koi wa Tsuki ni Shirube Kareru,PSV,2016.0,Action,dramatic create,0.0,0.0,0.01,0.0,0.01
Crows: Burning Edge,PS4,2016.0,Action,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01
Taiko no Tatsujin: Don Don! Mystery Adventure,3DS,2016.0,Action,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1
Fate/Extella: The Umbral Star,PS4,2016.0,Action,PQube,0.0,0.0,0.11,0.0,0.11
Goat Simulator,XOne,2016.0,Simulation,Koch Media,0.0,0.01,0.0,0.0,0.01
Cities: Skylines Snowfall,PC,2016.0,Simulation,Paradox Development,0.0,0.01,0.0,0.0,0.01
RIGS: Mechanized Combat League,PS4,2016.0,Action,Sony Computer Entertainment,0.03,0.05,0.01,0.02,0.11
Kamigami no Asobi InFinite,PSV,2016.0,Adventure,Broccoli,0.0,0.0,0.01,0.0,0.01
Yakuza Kiwami,PS4,2016.0,Adventure,Sega,0.0,0.0,0.16,0.0,0.16
Cartoon Network Battle Crashers,3DS,2016.0,Action,FuRyu Corporation,0.01,0.0,0.0,0.0,0.01
Tom Clancy's The Division,PS4,2016.0,Shooter,Ubisoft,1.35,1.7,0.15,0.6,3.8
Digimon Story: Cyber Sleuth,PS4,2016.0,Role-Playing,Namco Bandai Games,0.0,0.1,0.0,0.02,0.11
Far Cry: Primal,PS4,2016.0,Action,Ubisoft,0.6,1.25,0.06,0.35,2.26
Shin Megami Tensei IV: Final,3DS,2016.0,Role-Playing,Deep Silver,0.05,0.0,0.14,0.01,0.19
ZombiU,PS4,2016.0,Action,Ubisoft,0.0,0.04,0.01,0.01,0.06
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,2016.0,Action,Activision,0.05,0.02,0.0,0.02,0.09
God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4,PS4,2016.0,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5,PS4,2016.0,Misc,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
Mafia III,PS4,2016.0,Action,Take-Two Interactive,0.42,1.08,0.03,0.28,1.81
BlazBlue Central Fiction,PS4,2016.0,Fighting,PQube,0.04,0.0,0.03,0.01,0.08
Pac-Man Championship Edition 2 + Arcade Game Series,XOne,2016.0,Action,Namco Bandai Games,0.01,0.0,0.0,0.0,0.02
SD Gundam G Generation Genesis,PSV,2016.0,Strategy,Namco Bandai Games,0.0,0.0,0.09,0.0,0.09
Assassin's Creed Chronicles,PS4,2016.0,Action,Ubisoft,0.01,0.05,0.01,0.01,0.09
NBA 2K17,PS4,2016.0,Sports,Take-Two Interactive,1.25,0.27,0.02,0.34,1.88
Dragon Ball: Fusions,3DS,2016.0,Role-Playing,Namco Bandai Games,0.02,0.0,0.19,0.0,0.21
Batman: A Telltale Game Series,PS4,2016.0,Adventure,Telltale Games,0.03,0.05,0.0,0.01,0.09
King's Quest: The Complete Collection,PS4,2016.0,Adventure,Activision,0.01,0.0,0.0,0.0,0.02
Terraria,3DS,2016.0,Action,505 Games,0.0,0.04,0.05,0.0,0.09
Mega Man Legacy Collection,3DS,2016.0,Platform,Capcom,0.14,0.0,0.05,0.02,0.21
Period Cube: Torikago no Amadeus,PSV,2016.0,Action,Idea Factory,0.0,0.0,0.01,0.0,0.01
Assassin's Creed The Ezio Collection,PS4,2016.0,Action,Ubisoft,0.04,0.13,0.0,0.03,0.2
Republique,PS4,2016.0,Action,Nippon Ichi Software,0.0,0.01,0.01,0.0,0.01
Valkyria Chronicles,PS4,2016.0,Role-Playing,Sega,0.07,0.05,0.05,0.03,0.2
DriveClub VR,PS4,2016.0,Racing,Sony Computer Entertainment,0.03,0.05,0.0,0.01,0.09
Story of Seasons: Good Friends of the Three Villages,3DS,2016.0,Simulation,Marvelous Interactive,0.0,0.0,0.2,0.0,0.2
The Heavy Rain and Beyond: Two Souls Collection,PS4,2016.0,Action,Sony Computer Entertainment,0.0,0.17,0.0,0.03,0.2
Odin Sphere: Leifthrasir,PS4,2016.0,Role-Playing,Nippon Ichi Software,0.07,0.04,0.07,0.02,0.2
Super Stardust Ultra VR,PS4,2016.0,Shooter,Sony Computer Entertainment,0.0,0.01,0.0,0.0,0.01
Total War Attila: Tyrants & Kings,PC,2016.0,Strategy,Koch Media,0.0,0.01,0.0,0.0,0.01
Sonic Boom: Fire & Ice,3DS,2016.0,Platform,Sega,0.05,0.03,0.0,0.01,0.09
Azure Striker Gunvolt,3DS,2016.0,Action,Yacht Club Games,0.01,0.0,0.0,0.0,0.01
Overwatch,PS4,2016.0,Shooter,Activision,0.81,0.85,0.15,0.33,2.14
MXGP 2,PS4,2016.0,Racing,Milestone S.r.l.,0.02,0.05,0.0,0.01,0.09
Football Manager 2017,PC,2016.0,Simulation,Sega,0.0,0.09,0.0,0.01,0.09
